idx,cleaned_text,prediction,Text
20,"so let me draw a slightly different moral from the saga of beach volleyball as it has evolved in our if , as speaker gingrich says , the price of volleyball is eternal freedom , still it may take a village to raise a volleyball net .",3.381617423388451e-05,"So let me draw a slightly different moral from the saga of beach volleyball as it has evolved in our  If, as Speaker Gingrich says, the price of volleyball is eternal freedom, still it may take a village to raise a volleyball net."
21,his proud reserve -- a product of 40 years in the spotlight -- is refreshing but does not bode well for his capacity to shepherd big ideas through congress .,5.531801138454747e-06,His proud reserve--a product of 40 years in the spotlight--is refreshing but does not bode well for his capacity to shepherd big ideas through Congress.
22,"be vex dire que les agents autosomes , parma sequels bette community , salient , individual event it collective end , comment fire pour be metre à wagner eur vie in exploiting les sex naturals que constituent eur monde .",0.000482955883349906,"Je veux dire que les agents autonomes, parmi lesquels cette communauté, savaient, individuellement et collectivement, comment faire pour se mettre à gagner leur vie en exploitant les jeux naturels qui constituaient leur monde."
23,nash showed up for an it new year is eve party clad only in a diaper .,8.891766139553142e-06,Nash showed up for an MIT New Year's Eve party clad only in a diaper.
24,you know our church each year has a one of their major fund raisers is you know a garage sale and there is a ton of clothes always you know left over and i take those down to the up,5.503837827193328e-06,you know our church each year has a one of their major fund raisers is you know a garage sale and there's a ton of clothes always you know left over and i take those down to the uh
25,wear a nicely ventilated hat and keep to the shade in the street .,2.162256587223201e-05,Wear a nicely ventilated hat and keep to the shade in the street.
26,a muckraking cover story investigates how the pentagon disposes of surplus weapons ( the short badly ) .,5.554402717234987e-06,A muckraking cover story investigates how the Pentagon disposes of surplus weapons (the short  badly).
27,because the cold weather was just simply trapped along the ground and could not get away,5.7764168924744775e-06,because the cold weather was just simply trapped along the ground and couldn't get away
28,we have taken a number of steps to empower and invest in our employees .,0.000906150495127743,We have taken a number of steps to empower and invest in our employees.
29,"on the slopes of the hill you will find edinburgh zoo , located just behind cost or line hospital .",5.530125240061269e-05,"On the slopes of the hill you will find Edinburgh Zoo, located just behind Corstorphine Hospital."
30,is there adequate information for judging general ability ?,5.471500458426895e-06,Is there adequate information for judging generalizability?
31,"most of slate will not be published next week , the third and last of our traditional summer weeks off .",0.00019810479822956217,"Most of Slate will not be published next week, the third and last of our traditional summer weeks off."
32,challenges to restore public confidence in,5.512247670469765e-06,Challenges to Restore Public Confidence in
33,yeah uhf huh yeah it is one of the things up if you read in the newspapers and stuff he is the critics really like it or they really do not,5.481204114031026e-06,yeah uh-huh yeah it's one of the things uh if you read in the newspapers and stuff he's the critics really like it or they really don't
34,yeah and every once in a while they will have dressing but up whoever makes it up goes crazy with the sage,5.472899043231605e-06,yeah and every once in a while they'll have dressing but uh whoever makes it uh goes crazy with the sage
35,"to keep the colours fresh , he dabbed the carcass with blood from a pail , then grabbed his paintbrushes to capture those lurid reds on canvas .",0.009435058854375757,"To keep the colors fresh, he dabbed the carcass with blood from a pail, then grabbed his paintbrushes to capture those lurid reds on canvas."
36,"as war chr kiel , of .",1.2572405160921927e-05,"Das war ihr Ziel, oh."
37,herald provided the second version that is three people travel to karachi together,5.499797677544781e-06,哈拉德提供了第二个版本，即三个人一起前往卡拉奇。
38,the national football league semifinals are set .,0.00042816222136879726,The National Football League semifinals are set.
39,"wolves to be are site no a many ewe kwa utah is i abele a naked a wake nita mona manisa kofu katina johanna my a time wading any kwa jail make . a eye aka tuna , lambda kwa mad human i a misti to .",0.00012196302873624346,"Wolverstone amejitenga mwenyewe kwa urahisi mbele ya nahodha wake nitamwona Kanisa Askofu katika Jahannamu au nimewadanganya kwa ajili yake. Na yeye akatupa, labda kwa madhumuni ya msisitizo."
40,upwards of a mile but washington is one of my favourite places to visit up my daughter lives in arlington and when i go to visit her i love to get out on that bike trail and either ride the bike of gosh you can ride a bike practically all the way to southern virginia,5.508442997581578e-06,upwards of a mile but Washington is one of my favorite places to visit uh my daughter lives in Arlington and when i go to visit her  i love to get out on that bike trail and either ride the bike oh gosh you can ride a bike  practically all the way to southern Virginia
41,"is located next door in student dormitory known as quad , one graphical complex jacobin renaissance where is planned round from a series yards .",0.0002533513077299352,"Βρίσκεται δίπλα σε φοιτητικό κοιτώνα γνωστό ως Quad, ένα γραφικό συγκρότημα Ιακωβίνικης Αναγέννησης που σχεδιάζεται γύρω από μια σειρά αυλών."
42,bug a panama a kinabalu in mojo a manner sita valid blind a katina one hill,5.477883181909393e-06,Mbuga ya wanyama ya Kinabalu ni moja ya maeneo sita yaliyolindwa katika eneo hili
43,this if pronunciation actress on click do it you own you to to go will a to,5.4875275871562325e-06,یہ لو،  لفظ اداکارہ پر کلک کرو، تمہیں اپنا آپ مل جائے گا۔۔۔
44,"company , continuous changing business needs meet about to leiden to structuring prepared playa team editor .",8.630849411279532e-06,"Şirket, sürekli değişen işletme ihtiyaçlarını karşılamak üzere yeniden yapılanmaya hazırlıklı olmaya devam ediyor."
45,"leo keno barbacoa autumn a to human is a yupik a nama dan a shim , via hui to a yupik a shim .",0.0004929787283066799,"Leo neno barbacoa hutumiwa tu kumaanisha kupikia nyama ndani ya shimo, pia huitwa kupikia shimo."
46,much with whatever it is with the black the black problem or whatever that may be now,5.537813211461268e-06,much with whatever it's with the Black the Black problem or whatever that may be now
47,you can also view a roman nile meter carved in the rock which measured the height of the river and helped the ancient priests to time the announcement of the nile flood that initiated a movement of workers from the fields to community projects such as temple building .,1.4030714447487458e-05,You can also view a Roman Nileometer carved in the rock which measured the height of the river and helped the ancient priests to time the announcement of the Nile flood that initiated a movement of workers from the fields to community projects such as temple building.
48,at the top of the hill is the imposing medieval fortress of kadi female .,0.0003706986991063189,At the top of the hill is the imposing medieval fortress of Kadifekale.
49,clear form from your excellency has answer of for some the moment wait of,5.490857001748436e-06,स्पष्ट रूप से। महामहिम ने जवाब के लिए कुछ क्षण प्रतीक्षा की।
50,literature copy give france year 1787 is already buy concentration master slave rate have permission dress recovery slave rate is already hide exit into the receive earth self do .,7.838541749015746e-06,Văn bản hiến pháp năm 1787 đã quy định chủ nô lệ có quyền phục hồi nô lệ đã trốn thoát vào lãnh thổ tự do.
51,well univ they say univ may be the greatest amateur team ever,5.497715793282054e-06,well UNLV they say UNLV may be the greatest amateur team ever
52,and the door into mrs ingle thorp is room ?,5.492855048785502e-06,And the door into Mr. Inglethorp's room? 
53,gao is web site ( contains abstracts and full text files current reports and testimony and an expanding archive of older products .,5.7305703464005113e-05,GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.
54,y de repent vine de some sugar que no see de done vine per,5.735089495829363e-06,y de repente viene de algún lugar que no sé de donde viene pero
